Title,Data Type,Offset,Size,Signed,Decode Conversion Function,Encode Conversion Function,Unit,Comments,Example of Unencoded X,Encoded X
Unix Time,int,0,4,0,X,X,,,1698075089,
Packet Count,int,4,2,0,X,X,,,71,
Gyro X,int,6,2,1,X/32.8,X*32.8,dps,,-33.25954198,
Gyro Y,int,8,2,1,X/32.8,X*32.8,dps,,-33.71755725,
Gyro Z,int,10,2,1,X/32.8,X*32.8,dps,,-24.03816794,
Accel X,int,12,2,1,X/8192,X*8192,m/s^2,,-0.046875,
Accel Y,int,14,2,1,X/8192,X*8192,m/s^2,,0.015625,
Accel Z,int,16,2,1,X/8192,X*8192,m/s^2,,0.251953125,
Mag X,int,18,2,1,X*0.15,X/0.15,uT,,-5.7,
Mag Y,int,20,2,1,X*0.15,X/0.15,uT,,11.7,
Mag Z,int,22,2,1,X*0.15,X/0.15,uT,,48.75,
Battery Temp 1,int,24,4,1,X/10000,X*10000,Celsius,,3.3125,
Battery Temp 2,int,28,4,1,X/10000,X*10000,Celsius,,4.3125,
BME Temp,int,32,2,1,X/100,X*100,Celsius,,-2.64,
BME Pressure,int,34,4,0,X,X,Pascals,,12.59,
BME Humidity,int,38,4,0,X/1000,X*1000,%,,0.334,
Used Ram,int,42,2,0,X/100,X*100,%,,42,
Free Memory,int,44,4,0,X*10,X/10,bytes,,7780130816,
CPU Load,int,48,2,0,X/100,X*100,%,,91.2,
CPU Temp,int,50,2,1,X/10,X*10,Celsius,,49.66,
Batt Raw Voltage,int,52,2,0,X/1000,X*1000,V,,11.28499349,
Batt Raw Current,int,54,2,0,X/10000,X*10000,A,,0.3455004395,
V 3v3,int,56,2,0,X/1000,X*1000,V,,3.304948617,
I 3v3,int,58,2,0,X/10000,X*10000,A,,0.03723330688,
V 5v0,int,60,2,0,X/1000,X*1000,V,,4.985675122,
I 5v0,int,62,2,0,X/10000,X*10000,A,,0.5841765381,
V vBatt,int,64,2,0,X/1000,X*1000,V,,11.27929688,
I vBatt,int,66,2,0,X/10000,X*10000,A,,0.3430587402,
Reg Temp 3v3,int,68,2,1,X/100,X*100,Celsius,,12.56661195,
Reg Temp 5v0,int,70,2,1,X/100,X*100,Celsius,,15.9835088,
GPS Lat,int,72,4,0,X/10000,X*10000,deg,0-99,42.2842852,
GPS Lat NS,int,76,1,0,X,X,,"0 = N, 1 = S",0,
GPS Lon,int,77,4,0,X/10000,X*10000,deg,deg,83.70518459,
GPS Lon EW,int,81,1,0,X,X,,"0 = E, 1 = W",1,
GPS Alt,int,82,4,0,X/10,X*10,m,m,21232,
GPS Velocity,int,86,2,0,X/10,X*10,km/h,km/h,10,
GPS SNR,int,88,1,0,X,X,dB,dB 0-99,54,
Mag1 X,int,89,4,1,X/1000,X*1000,uT,,5.6,
Mag1 Y,int,93,4,1,X/1000,X*1000,uT,,-3.613333333,
Mag1 Z,int,97,4,1,X/1000,X*1000,uT,,46.53333333,
Mag2 X,int,101,4,1,X/1000,X*1000,uT,,-3.48,
Mag2 Y,int,105,4,1,X/1000,X*1000,uT,,-50.76,
Mag2 Z,int,109,4,1,X/1000,X*1000,uT,,-5.48
