ax,ay,az,gx,gy,gz,mx,my,mz
-336,-272,17072,-44,126,-278,-41,-12,389
-176,-136,17008,43,294,-157,-38,-1,391
-368,-368,17056,-70,138,-64,-39,-7,382
-104,-104,16976,75,208,-80,-46,-7,389
-96,-280,16848,-3,106,160,-48,-6,393
-104,-152,16888,-70,221,21,-50,-3,383
-192,-360,17072,27,-86,-130,-48,-14,391
-208,-120,16936,-94,168,-31,-37,-5,385
-216,-128,16808,112,82,-39,-49,-2,387
-432,-184,17024,-136,233,-154,-48,-6,391
-96,-232,16712,-79,129,-59,-41,-5,387
-208,-200,16968,-278,396,10,-49,-2,397
-368,-192,16840,-5,257,-106,-46,-254,393
-104,-240,16968,-39,190,-155,-48,-16,391
-112,72,16920,48,372,-277,-45,-6,388
-200,0,17032,174,299,485,-43,-1,386
-176,24,16832,22,354,61,-46,-5,389
-128,-72,17024,119,28,140,-45,-3,383
-144,-192,16960,115,87,-226,-44,-15,389
-336,-128,16760,-92,215,38,-46,-2,392
-216,-208,16848,130,55,7,-45,-6,381
-288,32,17008,-122,146,-259,-46,-2,385
-112,-40,16992,-109,163,-31,-44,-2,394
-240,-16,16928,37,74,194,-49,-7,394
-160,-224,16920,189,316,31,-44,-5,380
-64,-200,17032,-104,233,42,-50,-11,391
8,-296,16872,44,-102,-207,-39,-5,385
-304,-328,17016,100,138,-21,-39,-5,387
-160,-144,17032,140,-87,156,-45,-8,395
-176,-32,17000,-21,251,122,-38,-3,383
-208,-160,17088,302,349,-5,-40,-1,393
-304,-120,17104,-87,261,-152,-41,-10,389
-112,192,17000,-40,128,216,-48,-8,393
-112,-80,16880,110,383,88,-33,-11,391
-112,-16,16816,35,9,155,-50,-14,386
-224,-32,16784,204,300,14,-39,-10,387
-184,-48,17032,229,125,89,-48,-11,388
-216,-144,17024,40,-354,234,-45,3,393
-312,-312,17024,-89,246,-61,-41,-12,389
-112,-136,16840,-108,44,-2,-49,-5,377
-128,-16,17048,-38,298,20,-44,-5,380
-88,-240,16864,-24,181,-81,-40,-1,388
-184,-184,16904,25,198,206,-46,-10,387
-120,-72,16960,-93,-37,136,-48,-6,400
-232,-48,16984,60,96,-456,-46,-7,394
-424,-32,17024,-55,189,-127,-48,-6,386
-168,-72,16840,131,130,95,-45,-3,386
16,-128,17024,-160,-115,-9,-40,-3,386
-176,-136,16872,71,32,-386,-44,0,389
-96,-192,16840,54,-68,137,-41,0,392
-160,-152,16888,-158,147,-101,-45,-11,391
-96,-208,16872,-286,128,63,-45,-6,393
-312,-64,16888,-94,32,199,-45,-11,383
-88,64,17032,-21,40,-328,-45,-3,386
-472,-264,16912,-17,-138,75,-53,-6,386
