UnixTime,gx,gy,gz,ax,ay,az,mx,my,mz
1700167671.718702,00,00,00,00,00,00,0d,32,2e
1700167671.8289683,00,00,00,00,00,00,03,32,22
1700167671.9364913,00,00,00,00,00,00,03,2d,29
1700167672.0473313,00,00,00,00,00,00,fd,31,21
1700167672.154878,00,00,00,00,00,00,01,31,26
1700167672.2623932,00,00,00,00,00,00,00,30,20
1700167672.3726938,00,00,00,00,00,00,00,30,25
1700167672.4801974,00,00,00,00,00,00,04,36,28
1700167672.587869,00,00,00,00,00,00,03,28,25
1700167672.695433,00,00,00,00,00,00,03,32,29
1700167672.8031504,00,00,00,00,00,00,06,2e,2d
1700167672.9122643,00,00,00,00,00,00,0b,2e,23
1700167673.0154967,00,00,00,00,00,00,0d,32,2e
1700167673.118841,00,00,00,00,00,00,0a,30,31
1700167673.221998,00,00,00,00,00,00,0a,30,2e
1700167673.3252099,00,00,00,00,00,00,0e,2c,26
1700167673.430488,00,00,00,00,00,00,08,32,31
1700167673.5339103,00,00,00,00,00,00,04,29,32
1700167673.6370938,00,00,00,00,00,00,03,3a,3d
1700167673.740272,00,00,00,00,00,00,06,36,2b
1700167673.8434553,00,00,00,00,00,00,0e,2e,2d
1700167673.9483078,00,00,00,00,00,00,05,37,31
1700167674.0516405,00,00,00,00,00,00,05,2d,38
1700167674.1590936,00,00,00,00,00,00,0f,35,29
1700167674.2666864,00,00,00,00,00,00,0b,2e,26
1700167674.3741937,00,00,00,00,00,00,00,30,20
1700167674.4858456,00,00,00,00,00,00,08,32,1d
1700167674.5933254,00,00,00,00,00,00,05,35,29
1700167674.7008343,00,00,00,00,00,00,01,33,1e
1700167674.808332,00,00,00,00,00,00,00,30,18
1700167674.9158385,00,00,00,00,00,00,06,33,2b
1700167675.0259113,00,00,00,00,00,00,04,39,26
1700167675.1334264,00,00,00,00,00,00,06,33,21
1700167675.2408576,00,00,00,00,00,00,06,36,1c
1700167675.3483007,00,00,00,00,00,00,fd,29,1e
1700167675.455745,00,00,00,00,00,00,04,2e,21
1700167675.5667284,00,00,00,00,00,00,03,32,27
1700167675.6741967,00,00,00,00,00,00,01,3e,1e
1700167675.781694,00,00,00,00,00,00,04,2c,21
1700167675.890088,00,00,00,00,00,00,06,39,26
1700167675.9976354,00,00,00,00,00,00,05,30,25
1700167676.1070898,00,00,00,00,00,00,09,2c,1e
1700167676.2145312,00,00,00,00,00,00,0b,39,26
1700167676.3219674,00,00,00,00,00,00,0a,37,1b
